@RELATION players

@ATTRIBUTE gp numeric
@ATTRIBUTE age numeric
@ATTRIBUTE min numeric
@ATTRIBUTE fgm numeric
@ATTRIBUTE fga numeric
@ATTRIBUTE ftm numeric
@ATTRIBUTE fta numeric
@ATTRIBUTE reb numeric
@ATTRIBUTE ast numeric
@ATTRIBUTE stl numeric
@ATTRIBUTE blk numeric
@ATTRIBUTE tov numeric
@ATTRIBUTE pts numeric
@ATTRIBUTE season numeric
@ATTRIBUTE fppg numeric

@DATA
45,30,13.1,2.2,4.8,1.5,2,1.4,0.7,0.4,0.2,0.7,6.3,NaN,6.5
52,31,13,1.3,2.6,0.8,1.1,1.7,0.8,0.5,0.2,0.4,3.5,NaN,4.5
25,23,16.1,1.8,4.1,0.7,1.1,3.4,0.8,0.6,0.5,1,4.4,NaN,10
42,33,11,1.3,3.1,0.2,0.6,3.2,0.3,0.3,0.7,0.7,2.8,NaN,2
67,25,27.8,3.9,9.9,2,2.4,2.6,3,0.7,0.3,1.2,11.6,NaN,10.2
62,22,33.9,4.3,10.3,5.4,6.3,4.9,1.7,0.8,0.4,1.3,15.6,NaN,18.1
79,28,35,6.8,15.9,5,5.9,5.4,2.6,1.1,0.8,2.6,20.5,NaN,19.4
8,24,11.4,2.1,4.4,0,0,1.9,0.3,0.3,0.1,0.6,5.1,NaN,12.1
78,24,21,2.8,6.1,0.6,0.8,3.6,0.6,0.7,0.6,0.7,6.2,NaN,8.8
10,33,7.1,0.7,1.5,0.2,0.4,1,0.2,0,0,0.4,1.6,NaN,0
69,26,24.4,3.9,8.4,0.9,1.7,5.2,1.5,0.8,2,2.2,8.8,NaN,7.7
59,25,8.2,1.3,2.7,0.5,0.8,1.6,0.2,0.2,0.1,0.4,3.2,NaN,0
80,23,20.1,3.9,7.8,1.4,1.7,4.3,0.7,0.7,0.8,1.1,9.1,NaN,0
79,23,29.9,5,11,2.6,2.9,2.8,5.1,1.1,0.2,2.5,13.2,NaN,15.9
40,31,9.3,1.4,3,0.4,0.6,2.1,0.3,0.1,0.2,0.6,3.4,NaN,0
73,28,36.1,6.8,13.4,2.9,3.7,9.8,3.2,1,0.4,2.3,16.5,NaN,27.4
70,30,35,7.5,14.9,3.8,4.7,7.6,2.3,1,0.9,2,18.9,NaN,18.3
80,22,25.6,2.9,4.3,1.2,2.7,7.2,0.5,0.5,1.8,1.3,7.1,NaN,16.7
81,22,21.4,3.6,7.2,1.1,1.7,7,1,1.2,0.5,1.4,8.3,NaN,14.4
82,21,34.8,6.6,14.1,4,4.9,3.8,1.8,1,0.4,1.8,17.2,NaN,15.8
81,20,28.5,5.3,12.4,3.4,5,8.6,2.5,1,0.8,3.3,14.1,NaN,25.6
12,24,4.2,0.3,1,0.2,0.2,0.7,0.3,0.1,0.1,0,0.8,NaN,5.8
16,29,11.3,0.5,1.5,0.3,0.7,2.5,0.4,0.3,0.9,0.7,1.3,NaN,5.4
72,30,16.1,1.8,4.6,0.5,0.6,1.5,1.1,0.3,0.1,0.6,5.3,NaN,4
24,27,18.9,2.3,5,0.5,0.6,1.5,2.7,0.8,0.4,1.3,5.6,NaN,13.7
82,36,28,2.5,6.5,1,1.3,1.9,2.7,1.2,0.1,0.9,6.8,NaN,8.6
65,27,37.9,6.6,15,5.4,6.3,4,10.3,1.2,0.2,3.5,20.1,NaN,27.4
49,23,11.7,1.5,2.7,0.7,1.2,2,0.7,0.4,0.2,0.7,3.8,NaN,10.7
41,23,5.2,0.8,1.6,0.4,0.6,1,0.2,0.1,0.2,0.5,2,NaN,0
78,19,19.7,2.8,5.3,1.3,2.2,5.3,0.5,0.4,0.9,1,6.8,NaN,14.7
81,22,37.4,8.8,19.7,5.9,6.9,4.1,7.7,1,0.6,3.4,25,NaN,26.5
20,21,5.9,1.1,2.6,0.9,1.2,1.4,0.1,0.2,0.3,0.3,3.1,NaN,5.6
71,28,31.7,4.8,11.5,4.7,5.7,2.4,7.1,1,0.1,2.9,15.2,NaN,15.7
2,23,5.6,0.5,1.5,0,0,1.5,0,0,0,1,1,NaN,4.5
73,33,34.3,8.4,16.2,5.4,6.1,7,2.6,0.5,0.6,1.9,23,NaN,24
52,25,14.6,1.4,3.5,0.6,0.8,3.8,0.8,0.2,0.6,0.5,3.3,NaN,9.2
18,22,7.5,0.8,2.5,0.8,0.9,1.4,1.1,0.3,0.2,0.6,2.3,NaN,5
69,23,16.3,2.3,5.6,0.6,0.9,2.1,0.7,0.5,0.3,0.9,5.8,NaN,6.8
82,25,38.4,5.9,14,2.2,2.8,5.3,3,1.5,0.8,1.6,16.4,NaN,13.3
35,29,24.6,4.5,10.3,2.3,2.9,6.8,1.3,0.6,0.5,1.3,11.3,NaN,18.9
78,25,37.6,7.9,13.4,7,11.7,14.1,1.4,1.4,2.4,3.6,22.9,NaN,32.8
76,29,37.1,9.1,18.2,6.5,8.6,6.4,4.6,1.5,1.1,3.1,25.5,NaN,27.2
21,29,14.5,1.5,4.7,0.7,1.1,3.6,0.5,0.4,0.3,0.8,3.8,NaN,1.5
57,35,15.1,2.7,6.2,1.2,1.4,1,2.5,0.7,0.1,0.9,7.2,NaN,6.1
42,23,11,1.6,3.8,0.6,1.1,2.4,0.2,0.2,0.4,0.7,3.9,NaN,5.3
80,32,19.6,1.6,3.8,0.7,1,2.3,3.5,0.8,0.2,1.5,4.3,NaN,10.5
65,22,24.6,3.3,5.7,1.1,2,7.1,0.6,0.6,1,0.7,7.7,NaN,13.4
56,33,17.5,2.3,5.7,0.7,0.7,1.6,1.1,0.6,0.1,0.5,6.5,NaN,0
31,34,12,0.8,2.3,0.2,0.4,1.4,0.6,0.4,0.2,0.4,2.2,NaN,4.9
58,24,17.8,1.7,3.8,0.7,1.1,3.1,0.7,0.4,1.5,0.8,4.1,NaN,10.7
81,32,34.7,6.2,12.1,2.6,3.4,8.3,1.5,1.1,1.3,1.2,15,NaN,18
72,28,31.8,4.2,7.3,2,3.6,9.5,0.6,0.6,1.8,1.7,10.3,NaN,16.5
81,21,22.7,2.5,6,1.2,1.6,2.8,3.6,1.1,0.3,2.4,6.7,NaN,6.6
56,22,37.7,7.6,16.9,5.1,6.2,2.9,4.4,1.3,0.3,2.7,22.3,NaN,21
82,24,14.6,1.6,4.1,0.5,0.7,1.5,2.9,0.4,0.1,0.9,4.2,NaN,7.1
51,35,16,1,1.7,0.5,0.9,3.5,0.4,0.3,0.9,0.6,2.5,NaN,2.1
60,24,25.1,3.7,8.5,1.6,1.7,6.1,0.9,0.9,0.4,1.1,9.5,NaN,20
13,33,6.3,0.8,1.6,0.9,1.2,1.8,0.2,0.1,0.3,0.4,2.5,NaN,0
78,22,23,2.9,6.8,1.3,1.6,3.9,2,0.6,0.2,1,7.2,NaN,14.9
5,36,8.9,0.6,1,0.2,0.4,1.4,0,0,0,0.6,1.4,NaN,0
62,35,9.8,0.9,1.8,0.4,0.5,1.9,0.5,0.3,0.2,0.5,2.2,NaN,1
58,29,23.9,3.6,8.2,1.1,1.3,2.3,1.2,0.9,0.8,0.8,9.7,NaN,6.3
1,22,1.9,0,0,0,0,0,0,0,0,0,0,NaN,0
21,24,4.8,0.8,1.5,0.5,1,1.3,0.1,0,0.2,0.5,2.1,NaN,0
24,25,9.6,0.8,2.8,0.3,0.7,1,1.3,0.5,0.3,1,2.4,NaN,0
63,26,12.6,2,4.3,0.9,1.4,1.8,0.8,0.4,0.1,0.7,5.2,NaN,7.8
80,26,21.1,3.6,7.9,1.1,1.3,2.5,1.2,0.3,0.1,1,9.8,NaN,10.6
76,25,28.3,3.8,8.3,3.1,3.6,2.6,2.5,0.9,0.3,1.3,11.6,NaN,13
68,23,24.4,3.8,8.4,1.9,2.4,3,1.5,0.7,0.5,0.9,9.6,NaN,16.5
71,28,37.9,5.4,12,3.9,5.3,8,2.4,1.5,0.9,2.1,15.7,NaN,20.6
70,29,25.7,3.8,10.5,1.7,2.2,2.7,3.9,1.1,0.3,2.5,10.8,NaN,5.4
78,25,29.5,4.6,10.3,2.5,3.4,5.4,1.2,1,0.4,1.1,11.7,NaN,11.8
